a,ucsur,&#xF1900;,a+a,a+a+a,seme+a
namako,ucsur,&#xF1978;,&#xF1978;&#xFE01;
oko,ucsur,&#xF197a;
soko,ucsur,&#xF1981;,&#xF1981;&#xFE00;,&#xF1981;&#xFE02;
tonsi,ucsur,&#xF197e;
apeja,ucsur,&#xF19a1;
kamalawala,ucsur,&#xf19a8;  
kiki,ucsur,&#xF19a5;
kuntu,,kalama+musi+tan+uta
linluwi,ucsur,&#xF19a4;,&#xF19a4;&#xFE01;,&#xF19a4;&#xFE02;
majuna,ucsur,&#xF19a2;,&#xF19a2;&#xFE01;
pake,ucsur,&#xF19a0;
peto,,pana+e+telo+oko
powe,ucsur,&#xF19a3;
su,ucsur,su
wasoweli,,waso&zwj;soweli
melome,ucsur,&#xf19aa;
mijomi,,&#xf19ab;
nimisin,ucsur,&#xf19ad;
omekalike,,&#xf1944;&zwj;&#xf1936;&zwj;&#xf1909;&zwj;&#xf1914;&zwj;&#xf190d;
omekapo,,&#xf19b0;
omen,,o+moli+e+mi
wekama,,weka&zwj;kama
cartouche open,ucsur,&#xf1990;
cartouche end,ucsur,&#xf1991;
cartouche extension,ucsur,&#xf1992;
truncated pi<br>for extended pi,ucsur,&#xf1993;
long pi extension<br>long character extension,ucsur,&#xf1999;
stacking combiner<br>(UCSUR only),ucsur,&#xf1995;
scaling combiner<br>(UCSUR only),ucsur,&#xf1996;
long glyph start<br>(UCSUR only),ucsur,&#xf1997;
long glyph end<br>(UCSUR only),ucsur,&#xf1998;
reverse long glyph start<br>(UCSUR only),ucsur,&#xf199a;
reverse long glyph end<br>(UCSUR only),ucsur,&#xf199b;
cartouche interpunct,ucsur,&#xf199c;
cartouche colon,ucsur,&#xf199d;
silapa,,silapa,<br><br><br>siiiiilapa
tasun,,tasun,taaaasun
eliki,,eliki
jonke,,jonke
ke,,ke
kese,,kese
ojuta,,ojuta
owe,,owe
pakola,,pakola
penpo,,penpo
pika,,pika
soto,,soto
sutopatikuna,,sutopatikuna
konwe,,konwe
kulijo,,kulijo
jami,,jami
mulapisu,,mulapisu
po,,po
kisa,,kisa
likujo,,likujo
teje,,teje
isipin,ucsur,isipin
kapesi,ucsur,kapesi
misa,ucsur,misa
nja,ucsur,nja
oke,ucsur,oke
puwa,ucsur,puwa
tuli,,tuli
san,ucsur,san
taki,ucsur,taki
unu,ucsur,unu
usawi,ucsur,usawi
wa,ucsur,wa
wuwojiti,ucsur,wuwojiti
yupekosi,ucsur,yupekosi
waleja,,waleja
te,ucsur,te
to,ucsur,to
