a,ucsur,a,a2,a3,a4,a5
leftwards or downwards<br>arrowhead radical,ucsur,&#xF1C82;
upwards or rightwards<br>arrowhead radical,ucsur,&#xF1C83;
closed box radical,ucsur,&#xF1C84;
open box radical,ucsur,&#xF1C85;
left open box radical,ucsur,&#xF1C86;
right open box radical,ucsur,&#xF1C87;
circle radical,ucsur,&#xF1C88;
semicircle radical,ucsur,&#xF1C89;
cross radical,ucsur,&#xF1C8A;
dot radical,ucsur,&#xF1C8B;
double dot radical,ucsur,&#xF1C8C;
emitters radical,ucsur,&#xF1C8D;
box or crosshair radical,ucsur,&#xF1C8E;
hammer radical,ucsur,&#xF1C8F;
hand radical,ucsur,&#xF1C90;
pointing hand radical,ucsur,&#xF1C91;
heart radical,ucsur,&#xF1C92;
frowning mouth radical,ucsur,&#xF1C93;
smiling mouth radical,ucsur,&#xF1C94;
open mouth radical,ucsur,&#xF1C95;
open triangle radical,ucsur,&#xF1C96;
closed triangle radical,ucsur,&#xF1C97;
wavy line radical,ucsur,&#xF1C98;
vertical line radical,ucsur,&#xF1C99;
horizontal line radical,ucsur,&#xF1C9A;
exclamation line radical,ucsur,&#xF1C9B;
comma radical,ucsur,&#xF1C9C;
inta,,inta,inta2
kani,,kani
kelo,,kelo
kewe,,kewe
kijesankalu,,kijesankalu
kinute,,kinute
kitu,,kitu
lan,,lan,lan2
nusun,,nusun
onono,,onono
panpan,,panpan
salantapotalusa,,salantapotalusa
sokeli,,sokeli
sunta,,sunta
tawake,,tawake
apoko,,apoko
inisa,,inisa
josuta,,josuta
jupi,,jupi
kajo,,kajo
kasan,,kasan
kewi,,kewi
kolin,,kolin
konsuno,,konsuno,konsuno2
lapan,,lapan,lapan1
lenke,,lenke
lipasa,,lipasa
loku,,loku
lonsi,,lonsi
nun,,nun
papa,,papa,papa2,papa3,papa4,
patu,,patu
pela,,pela
pokasi,,pokasi
positu,,positu
potesu,,potesu
se,,se,se2
sole,,sole
suwili,,suwili
take,,take,take2
tankala,,tankala
teki,,teki
towoki,,towoki
tenkala,,tenkala
suke,,suke
toma,,toma
wisa,,wisa
aAANUSEMEmailMahjong,,aAANUSEMEmailMahjong
kuki,,kuki
lajuto,,lajuto
salantapotalusa,,salantapotalusa
